License,DBAName,Address,City,State,Zip,Latitude,Longitude
1298.0,J. L. LOUNGE,3402 N CICERO AVE ,CHICAGO,IL,60641.0,41.94257857369689,-87.74711430949259
1303.0,TREASURE ISLAND FOODS INC,75 W ELM ST ,CHICAGO,IL,60610.0,41.90302613678393,-87.6313487721985
1307.0,TREASURE ISLAND FOODS,1639 N WELLS ST ,CHICAGO,IL,60614.0,41.91231179521778,-87.63459885551381
1311.0,TREASURE ISLAND FOODS,3460 N BROADWAY ,CHICAGO,IL,60657.0,41.944828265606034,-87.64589348837235
1315.0,TREASURE ISLAND FOODS,2121 N CLYBOURN AVE ,CHICAGO,IL,60614.0,41.91989968396778,-87.66180553636595
1319.0,TREASURE ISLAND FOODS,680 N LAKE SHORE DR ,CHICAGO,IL,60611.0,41.89479837028341,-87.61586664567874
1323.0,JEWEL FOOD STORE #3443,5343 N BROADWAY ,CHICAGO,IL,60640.0,41.979428254921736,-87.65980585471296
1325.0,JEWEL FOOD STORE #3454,4250 N LINCOLN AVE ,CHICAGO,IL,60618.0,41.95910043303785,-87.6823922417421
1329.0,JEWEL FOOD STORE #3430,3630 N SOUTHPORT AVE ,CHICAGO,IL,60613.0,41.948004550829744,-87.66418623070139
1333.0,JEWEL FOOD STORE #3210,1210 N CLARK ST ,CHICAGO,IL,60610.0,41.90426522825603,-87.63160329458952
1337.0,JEWEL FOOD STORE #3282,4729 N CENTRAL AVE ,CHICAGO,IL,60630.0,41.96679711200058,-87.7672994806274
1356.0,JEWEL FOOD STORE #3139,3940 E 106TH ST ,CHICAGO,IL,60617.0,41.702806095091134,-87.52770401162323
1362.0,MONTESSORI OF ENGLEWOOD,6936 S HERMITAGE AVE ,CHICAGO,IL,60636.0,41.76739834498144,-87.6676758923248
1366.0,JEWEL FOOD STORE #3170,5320 S PULASKI RD ,CHICAGO,IL,60632.0,41.79619759141553,-87.72339188344549
1368.0,JEWEL FOOD STORE #3181,87 W 87TH ST ,CHICAGO,IL,60620.0,41.7361451282369,-87.62691784397349
1370.0,JEWEL FOOD STORE #3089,11414 S HALSTED ST ,CHICAGO,IL,60628.0,41.686413978433364,-87.64233995080275
1372.0,JEWEL FOOD STORE #3477,4734 N CUMBERLAND AVE ,CHICAGO,IL,60656.0,41.96601140133553,-87.8368311691384
1375.0,JEWEL FOOD STORE #3441,2940 N ASHLAND AVE ,CHICAGO,IL,60657.0,41.935472032731646,-87.66865454314257
1380.0,JEWEL FOOD STORE #3455,4355 N SHERIDAN RD ,CHICAGO,IL,60613.0,41.96139777990347,-87.65459297484728
1382.0,JEWEL FOOD STORE #3470,3570 N ELSTON AVE ,CHICAGO,IL,60618.0,41.946057604016254,-87.70823010980484
1385.0,JEWEL FOOD STORE #3514,3531 N BROADWAY ,CHICAGO,IL,60657.0,41.946384651554105,-87.64652486334683
1387.0,GROVER CLEVELAND ELEMENTARY SCHOOL,3121 W Byron ,CHICAGO,IL,60618.0,41.9520147036778,-87.7064292746638
1388.0,JEWEL FOOD STORE #3114,3128 W 103RD ST ,CHICAGO,IL,60655.0,41.70631284461492,-87.6997671192086
1392.0,JEWEL FOOD STORE #3296,7342 W FOSTER AVE ,CHICAGO,IL,60656.0,41.97454294770947,-87.81134688421793
1394.0,JEWEL FOOD STORE #3407,5516 N CLARK ST ,CHICAGO,IL,60640.0,41.98218988461361,-87.66865162796087
1398.0,JEWEL FOOD STORE #3241,1341 N PAULINA ST ,CHICAGO,IL,60622.0,41.90624370308496,-87.6698622812847
1400.0,JEWEL FOOD STORE #3057,6057 S WESTERN AVE ,CHICAGO,IL,60636.0,41.78306113766131,-87.68359886966648
1402.0,JEWEL FOOD STORE #3302,3644 S ARCHER AVE ,CHICAGO,IL,60609.0,41.82758389676358,-87.68245444246118
1404.0,JEWEL FOOD STORE #3176,9400 S ASHLAND AVE ,CHICAGO,IL,60620.0,41.72294121820967,-87.66286287127303
1406.0,JEWEL FOOD STORE #3442,4042 W FOSTER AVE ,CHICAGO,IL,60630.0,41.97562411244582,-87.7298445615703
1409.0,JEWEL FOOD STORES #3262,4660 W IRVING PARK RD ,CHICAGO,IL,60641.0,41.953554438403636,-87.74505531119503
1411.0,JEWEL FOOD STORE #3092,1655 E 95TH ST ,CHICAGO,IL,60617.0,41.722263198133774,-87.58291763461929
1418.0,IRYS,2922 N MILWAUKEE AVE ,CHICAGO,IL,60618.0,41.93422330330756,-87.71608658405594
1425.0,KIRKWOOD BAR & GRILL,2934-36 N SHEFFIELD AVE ,CHICAGO,IL,60657.0,41.93546443073959,-87.65410202519548
1429.0,MR G'S FOOD & LIQUOR,332-334 E 58TH ST ,CHICAGO,IL,60637.0,41.78942985745533,-87.61784033976139
1434.0,GROUCHO'S BAR & GRILL,8355 S PULASKI RD ,CHICAGO,IL,60652.0,41.740515143209144,-87.72147836324686
1447.0,J V ENTERPRISES INC,60 W ADAMS ST ,CHICAGO,IL,60603.0,41.87953523408122,-87.63002421135039
1448.0,J V ENTERPRISES INC,60 W ADAMS ST ,CHICAGO,IL,60603.0,41.87953523408122,-87.63002421135039
1450.0,St. Ann School,2211 W 18th PL ,CHICAGO,IL,60608.0,41.85658359525156,-87.68150294820089
1462.0,QUENCHER'S INC,2401-2403 N WESTERN AVE ,CHICAGO,IL,60647.0,41.92494200350331,-87.68749640204432
1470.0,VILLA PALERMO INC,2154 W DEVON AVE ,CHICAGO,IL,60659.0,41.997926419643825,-87.68478485824427
1474.0,HIDE OUT INC,1354 W WABANSIA AVE ,CHICAGO,IL,60622.0,41.91378440726454,-87.66244709996674
1480.0,MARIO'S LIQUORS,5338 N CUMBERLAND AVE ,CHICAGO,IL,60656.0,41.976714383199855,-87.83676193133742
1491.0,HALF SOUR,755 S CLARK ST ,CHICAGO,IL,60605.0,41.872361365803386,-87.63046720465887
1495.0,JOY FOOD & LIQ,526 E 43RD ST ,CHICAGO,IL,60653.0,41.81681349501565,-87.61300230832155
1503.0,EL TIPICO,1834 W FOSTER AVE ,CHICAGO,IL,60640.0,41.976187241493896,-87.67626490689415
1511.0,SUPER GIANT FOOD,420 S PULASKI RD ,CHICAGO,IL,60624.0,41.874537312208965,-87.72559690165208
1516.0,EL MORRO INC,3101 W LAWRENCE AVE ,CHICAGO,IL,60625.0,41.96836523537237,-87.70609200933481
1525.0,EL NUEVO MEXICANO,2914 N CLARK ST ,CHICAGO,IL,60657.0,41.9351819008089,-87.64698740774583
1529.0,MARIE'S LIQUORS INC.,4127-4129 W LAWRENCE AVE ,CHICAGO,IL,60630.0,41.968090258486924,-87.73166808626459
1538.0,SOUTHPORT CITY SALOON,2548 N SOUTHPORT AVE ,CHICAGO,IL,60614.0,41.928485477764006,-87.66357735760441
1542.0,MELLOW YELLOW,1508 E 53RD ST ,CHICAGO,IL,60615.0,41.799656205200755,-87.58873571085917
1544.0,"S & K FOOD & LIQUOR, INC.",7500 S EXCHANGE AVE ,CHICAGO,IL,60649.0,41.75899276178537,-87.56037781077927
1548.0,RUDY'S LOUNGE,5101 S UNION AVE ,CHICAGO,IL,60609.0,41.80154127063514,-87.64275055577879
1553.0,PEPE TACO,11652 S WESTERN AVE ,CHICAGO,IL,60643.0,41.681092491646005,-87.6809679241932
1555.0,D'AGOSTINO'S PIZZA,1351 W ADDISON ST ,CHICAGO,IL,60613.0,41.94696420186995,-87.6636616004036
1559.0,IN & OUT FOOD CORP,6754 W 63RD ST ,CHICAGO,IL,60638.0,41.77764499407842,-87.79079419248302
1567.0,J AND P FINER FOODS,3501 W MONTROSE AVE ,CHICAGO,IL,60618.0,41.960988593538104,-87.71564631629732
1574.0,GOLDEN TIARA LTD,3231 N CICERO AVE ,CHICAGO,IL,60641.0,41.93978704106656,-87.7467456107272
1578.0,1000 LIQUORS / BIG CITY TAP,1000-1012 W BELMONT AVE ,CHICAGO,IL,60657.0,41.9400203602268,-87.65417210636889
1585.0,DON CARLOS RESTAURANT,1536-1538 N PULASKI RD ,CHICAGO,IL,60651.0,41.909225291318094,-87.7266358391038
1588.0,JOHNNY O'S,3465 S MORGAN ST ,CHICAGO,IL,60608.0,41.830791780461546,-87.65082245322775
1594.0,LAWN SUPER FOOD MART INC,10601 S PULASKI RD ,CHICAGO,IL,60655.0,41.70035527417964,-87.72054089644553
1598.0,BROWN SUGAR LOUNGE,2674 W MADISON ST ,CHICAGO,IL,60612.0,41.881200773960465,-87.69384383164196
1599.0,BACCHANALIA REST & LNG,2413 S OAKLEY AVE ,CHICAGO,IL,60608.0,41.8480440204021,-87.68293718057815
